username,password,id_type,create_date,update_date,created_by,update_by
04/03/1977111419971000,04/03/1977a,3,12/01/2005,12/01/2005,,
03/03/1978082319971001,03/03/1978a,3,03/29/2005,03/29/2005,,
02/27/1977052819962002,02/27/1977a,3,01/04/2005,01/04/2005,,
11/25/1976060119951003,11/25/1976a,3,08/25/2005,08/25/2005,,
04/12/1979032319972004,04/12/1979a,3,11/13/2005,11/13/2005,,
06/02/1976062819962005,06/02/1976a,3,11/17/2005,11/17/2005,,
11/16/1975021719981006,11/16/1975a,3,04/18/2005,04/18/2005,,
12/13/1977021019972007,12/13/1977a,3,07/18/2005,07/18/2005,,
03/23/1976121119952008,03/23/1976a,3,07/09/2005,07/09/2005,,
06/02/1975082719961009,06/02/1975a,3,06/13/2005,06/13/2005,,
10/24/1975121019972010,10/24/1975a,3,02/17/2005,02/17/2005,,
01/15/1976010919971011,01/15/1976a,3,04/07/2005,04/07/2005,,
01/06/1978102319952012,01/06/1978a,3,04/27/2005,04/27/2005,,
04/30/1977060719981013,04/30/1977a,3,09/19/2005,09/19/2005,,
06/23/1975050619961014,06/23/1975a,3,04/14/2005,04/14/2005,,
03/27/1977060119951015,03/27/1977a,3,05/21/2005,05/21/2005,,
09/19/1979012519961016,09/19/1979a,3,11/04/2005,11/04/2005,,
06/03/1977061819952017,06/03/1977a,3,11/05/2005,11/05/2005,,
10/03/1975062319951018,10/03/1975a,3,04/03/2005,04/03/2005,,
05/28/1978031519971019,05/28/1978a,3,12/22/2005,12/22/2005,,
04/20/1978072319982020,04/20/1978a,3,04/03/2005,04/03/2005,,
10/08/1978010519962021,10/08/1978a,3,06/07/2005,06/07/2005,,
02/05/1978022319972022,02/05/1978a,3,08/19/2005,08/19/2005,,
09/18/1975121719972023,09/18/1975a,3,08/20/2005,08/20/2005,,
03/14/1978082519981024,03/14/1978a,3,10/17/2005,10/17/2005,,
05/14/1979111919952025,05/14/1979a,3,03/14/2005,03/14/2005,,
02/01/1976060819961026,02/01/1976a,3,09/16/2005,09/16/2005,,
05/03/1975091719972027,05/03/1975a,3,11/14/2005,11/14/2005,,
09/19/1975060219981028,09/19/1975a,3,05/13/2005,05/13/2005,,
05/13/1978081319971029,05/13/1978a,3,01/10/2005,01/10/2005,,
