username,id_status,nama,tempat_lahir,tanggal_lahir,alamat_jalan,kelurahan,kecamatan,kabupaten_kota,provinsi,agama,jenis_kelamin,no_kk,nik,gol_darah,image,nip,lulusan,jenjang_pendidikan,gelar,is_wali_kelas,is_wali_pengajar,create_date,update_date,created_by,update_by
01/16/1978080419971000,Bukan Tetap,Eleanor Mcphee,Bandung,01/16/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,01/16/1978080419971000,Universitas C:T Mesin,D2,-,-,-,02/17/2005,02/17/2005,,
12/13/1976041419961001,Tetap,Aviana Whittle,Bandung,12/13/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,12/13/1976041419961001,Institut C:T. Informatika,D4,-,-,-,07/13/2005,07/13/2005,,
12/06/1975071919981002,Bukan Tetap,Abdur Patel,Bandung,12/06/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,AB,--,12/06/1975071919981002,Universitas C:Pend. Matematika,S1,-,-,-,07/01/2006,07/01/2006,,
11/25/1975081119972003,Tetap,Connor Grimes,Bandung,11/25/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,AB,--,11/25/1975081119972003,Universitas B:Akuntansi,S3,-,-,-,07/15/2007,07/15/2007,,
04/02/1978091319961004,Bukan Tetap,Barbara Wilks,Bandung,04/02/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,04/02/1978091319961004,Universitas A:T. Elektro,D4,-,-,-,01/26/2007,01/26/2007,,
02/22/1975041319972005,Bukan Tetap,Valentino Collins,Bandung,02/22/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,02/22/1975041319972005,Universitas B:Pend. Olahraga,D2,-,-,-,11/20/2006,11/20/2006,,
07/13/1976120119962006,Bukan Tetap,Ella-Mai Rodriquez,Bandung,07/13/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,07/13/1976120119962006,Politeknik A:T. Elektro,D1,-,-,-,11/29/2006,11/29/2006,,
01/08/1975061619952007,Bukan Tetap,Sami Bradley,Bandung,01/08/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,A,--,01/08/1975061619952007,Institut A:T. Kimia,D2,-,-,-,07/28/2006,07/28/2006,,
06/02/1977092219951008,Bukan Tetap,Qasim Young,Bandung,06/02/1977,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,06/02/1977092219951008,Institut C:T. Informatika,D4,-,-,-,04/03/2007,04/03/2007,,
11/17/1977100719952009,Bukan Tetap,Isabelle Oconnell,Bandung,11/17/1977,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,O,--,11/17/1977100719952009,Politeknik A:T Mesin,S2,-,-,-,04/02/2005,04/02/2005,,
02/03/1976042019952010,Bukan Tetap,Elizabeth Mclean,Bandung,02/03/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,AB,--,02/03/1976042019952010,Institut C:T. Kimia,S2,-,-,-,12/24/2007,12/24/2007,,
09/30/1975032719951011,Tetap,Annabella Dickson,Bandung,09/30/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,09/30/1975032719951011,Universitas C:T. Informatika,D3,-,-,-,02/24/2007,02/24/2007,,
05/10/1978062019962012,Tetap,Dawood Boyd,Bandung,05/10/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,05/10/1978062019962012,Politeknik A:T. Kimia,D2,-,-,-,02/28/2005,02/28/2005,,
09/21/1977031619962013,Bukan Tetap,Lily-May Kaye,Bandung,09/21/1977,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,O,--,09/21/1977031619962013,Universitas C:T. Informatika,S3,-,-,-,04/15/2006,04/15/2006,,
05/14/1979042519951014,Bukan Tetap,Arwen Horne,Bandung,05/14/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,AB,--,05/14/1979042519951014,Politeknik A:Pend. Olahraga,D2,-,-,-,05/23/2006,05/23/2006,,
12/18/1977042919961015,Tetap,Annette Martins,Bandung,12/18/1977,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,AB,--,12/18/1977042919961015,Institut C:T. Informatika,D4,-,-,-,01/30/2006,01/30/2006,,
01/11/1979101719951016,Bukan Tetap,Georgie Liu,Bandung,01/11/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,O,--,01/11/1979101719951016,Universitas A:T. Informatika,D3,-,-,-,10/01/2007,10/01/2007,,
06/10/1979092519971017,Tetap,Bonnie Enriquez,Bandung,06/10/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,06/10/1979092519971017,Universitas B:T. Informatika,S1,-,-,-,03/28/2007,03/28/2007,,
01/25/1977110119961018,Tetap,Jeremy Cline,Bandung,01/25/1977,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,01/25/1977110119961018,Universitas A:Matematika,D2,-,-,-,09/14/2005,09/14/2005,,
