username,id_administrasi,id_status,nama,tempat_lahir,tanggal_lahir,alamat_jalan,kelurahan,kecamatan,kabupaten_kota,provinsi,agama,jenis_kelamin,no_kk,nik,gol_darah,image,nip,lulusan,jenjang_pendidikan,gelar,create_date,update_date,created_by,update_by
07/21/1975110519971000,-,Tetap,Eleanor Mcphee,Bandung,07/21/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,07/21/1975110519971000,Politeknik A:T. Elektro,D3,-,06/01/2007,06/01/2007,,
08/22/1979031019952001,-,Tetap,Aviana Whittle,Bandung,08/22/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,08/22/1979031019952001,Universitas B:Akuntansi,D3,-,04/10/2007,04/10/2007,,
03/21/1976072919951002,-,Tetap,Abdur Patel,Bandung,03/21/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,03/21/1976072919951002,Universitas C:T. Informatika,S1,-,07/25/2006,07/25/2006,,
11/25/1976102019971003,-,Tetap,Connor Grimes,Bandung,11/25/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,11/25/1976102019971003,Universitas C:Matematika,D4,-,12/11/2006,12/11/2006,,
06/07/1975031519952004,-,Bukan Tetap,Barbara Wilks,Bandung,06/07/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,06/07/1975031519952004,Universitas A:T. Informatika,D3,-,05/16/2005,05/16/2005,,
12/16/1976111919962005,-,Tetap,Valentino Collins,Bandung,12/16/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,12/16/1976111919962005,Universitas B:T. Kimia,D4,-,09/30/2005,09/30/2005,,
05/19/1978071919982006,-,Tetap,Ella-Mai Rodriquez,Bandung,05/19/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,O,--,05/19/1978071919982006,Institut A:Matematika,S1,-,03/16/2007,03/16/2007,,
11/06/1975022819981007,-,Bukan Tetap,Sami Bradley,Bandung,11/06/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,11/06/1975022819981007,Universitas A:Matematika,D1,-,06/26/2007,06/26/2007,,
01/03/1976072519961008,-,Bukan Tetap,Qasim Young,Bandung,01/03/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,01/03/1976072519961008,Universitas A:Pend. Olahraga,D1,-,01/21/2006,01/21/2006,,
05/06/1976081819972009,-,Tetap,Isabelle Oconnell,Bandung,05/06/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,05/06/1976081819972009,Politeknik A:T. Kimia,D3,-,12/23/2006,12/23/2006,,
07/05/1978101419961010,-,Bukan Tetap,Elizabeth Mclean,Bandung,07/05/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,07/05/1978101419961010,Universitas A:T. Kimia,D1,-,08/06/2007,08/06/2007,,
05/27/1976022519982011,-,Bukan Tetap,Annabella Dickson,Bandung,05/27/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,O,--,05/27/1976022519982011,Politeknik A:T Mesin,D2,-,01/10/2007,01/10/2007,,
02/22/1976111519961012,-,Bukan Tetap,Dawood Boyd,Bandung,02/22/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,02/22/1976111519961012,Institut A:Pend. Olahraga,D1,-,05/07/2006,05/07/2006,,
10/11/1976102819952013,-,Bukan Tetap,Lily-May Kaye,Bandung,10/11/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,AB,--,10/11/1976102819952013,Universitas C:T. Kimia,S2,-,03/15/2006,03/15/2006,,
10/03/1976111219982014,-,Bukan Tetap,Arwen Horne,Bandung,10/03/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,O,--,10/03/1976111219982014,Universitas C:T. Informatika,D4,-,01/16/2007,01/16/2007,,
07/28/1976041719981015,-,Bukan Tetap,Annette Martins,Bandung,07/28/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,07/28/1976041719981015,Universitas C:Pend. Olahraga,D3,-,06/23/2006,06/23/2006,,
03/30/1978031919972016,-,Bukan Tetap,Georgie Liu,Bandung,03/30/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,03/30/1978031919972016,Institut C:Matematika,D1,-,11/15/2007,11/15/2007,,
09/08/1975073019961017,-,Bukan Tetap,Bonnie Enriquez,Bandung,09/08/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,O,--,09/08/1975073019961017,Universitas B:T. Elektro,D2,-,03/13/2007,03/13/2007,,
07/20/1978090319981018,-,Tetap,Jeremy Cline,Bandung,07/20/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,07/20/1978090319981018,Institut C:T. Informatika,S1,-,01/15/2007,01/15/2007,,
07/23/1975052219971019,-,Bukan Tetap,Mared Lowe,Bandung,07/23/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,O,--,07/23/1975052219971019,Institut A:Akuntansi,D1,-,12/22/2006,12/22/2006,,
02/13/1979060719961020,-,Bukan Tetap,Mathilda Stein,Bandung,02/13/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,O,--,02/13/1979060719961020,Universitas B:T. Elektro,D3,-,11/26/2005,11/26/2005,,
12/01/1978121419952021,-,Bukan Tetap,Naeem Foley,Bandung,12/01/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,O,--,12/01/1978121419952021,Politeknik A:T. Kimia,D1,-,07/03/2007,07/03/2007,,
11/29/1978101519952022,-,Bukan Tetap,Maggie Wiley,Bandung,11/29/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,11/29/1978101519952022,Universitas B:T. Kimia,S1,-,03/05/2007,03/05/2007,,
04/08/1975051719951023,-,Bukan Tetap,Kye Finley,Bandung,04/08/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,04/08/1975051719951023,Universitas B:T. Elektro,D3,-,10/15/2007,10/15/2007,,
09/16/1979012519952024,-,Bukan Tetap,Ayat Whitehead,Bandung,09/16/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,09/16/1979012519952024,Politeknik A:T. Kimia,D3,-,11/23/2007,11/23/2007,,
06/16/1975101319962025,-,Tetap,Arham Parsons,Bandung,06/16/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,06/16/1975101319962025,Universitas A:T. Informatika,D1,-,07/15/2005,07/15/2005,,
05/14/1976060819962026,-,Bukan Tetap,Rudra Schroeder,Bandung,05/14/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,AB,--,05/14/1976060819962026,Politeknik A:Matematika,D1,-,03/02/2007,03/02/2007,,
08/22/1979090119952027,-,Tetap,Aalia Bostock,Bandung,08/22/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,A,--,08/22/1979090119952027,Politeknik A:T. Kimia,S1,-,04/12/2006,04/12/2006,,
10/26/1976122719971028,-,Bukan Tetap,Kiki Clegg,Bandung,10/26/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,10/26/1976122719971028,Politeknik A:T. Kimia,D4,-,06/12/2005,06/12/2005,,
01/06/1976011419971029,-,Tetap,Ryan Hall,Bandung,01/06/1976,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,O,--,01/06/1976011419971029,Institut A:T. Elektro,S1,-,12/20/2006,12/20/2006,,
